# Selection   : all
# Cells       : 400
# Volume      : 1.000000e+00
# Time        	max(p)
0             	0.000000e+00
0.01          	6.715922e-01
0.02          	8.131619e-01
0.03          	8.134946e-01
0.04          	7.914614e-01
0.05          	7.711491e-01
0.06          	7.559358e-01
0.07          	7.449258e-01
0.08          	7.367250e-01
0.09          	7.303909e-01
0.1           	7.253026e-01
0.11          	7.209651e-01
0.12          	7.177731e-01
0.13          	7.148412e-01
0.14          	7.126233e-01
0.15          	7.107309e-01
0.16          	7.091950e-01
0.17          	7.079666e-01
0.18          	7.069925e-01
0.19          	7.062473e-01
0.2           	7.056738e-01
0.21          	7.051342e-01
0.22          	7.043284e-01
0.23          	7.050905e-01
0.24          	7.071558e-01
0.25          	7.076782e-01
0.26          	7.075083e-01
0.27          	7.075370e-01
0.28          	7.078601e-01
0.29          	7.083677e-01
0.3           	7.089822e-01
0.31          	7.096693e-01
0.32          	7.104264e-01
0.33          	7.112641e-01
0.34          	7.122137e-01
0.35          	7.119050e-01
0.36          	7.122664e-01
0.37          	7.129993e-01
0.38          	7.137729e-01
0.39          	7.145287e-01
0.4           	7.152783e-01
0.41          	7.160231e-01
0.42          	7.168041e-01
0.43          	7.175799e-01
0.44          	7.182029e-01
0.45          	7.179418e-01
0.46          	7.192284e-01
0.47          	7.200239e-01
0.48          	7.206554e-01
0.49          	7.214565e-01
0.5           	7.221976e-01
0.51          	7.229404e-01
0.52          	7.236466e-01
0.53          	7.242532e-01
0.54          	7.250879e-01
0.55          	7.258372e-01
0.56          	7.265319e-01
0.57          	7.272116e-01
0.58          	7.278814e-01
0.59          	7.285391e-01
0.6           	7.291801e-01
0.61          	7.297704e-01
0.62          	7.301237e-01
0.63          	7.313213e-01
0.64          	7.320244e-01
0.65          	7.326268e-01
0.66          	7.332142e-01
0.67          	7.338043e-01
0.68          	7.343984e-01
0.69          	7.349956e-01
0.7           	7.355839e-01
0.71          	7.361631e-01
0.72          	7.367667e-01
0.73          	7.373571e-01
0.74          	7.379342e-01
0.75          	7.385062e-01
0.76          	7.390812e-01
0.77          	7.396712e-01
0.78          	7.403282e-01
0.79          	7.410452e-01
0.8           	7.410092e-01
0.81          	7.414860e-01
0.82          	7.420555e-01
0.83          	7.426191e-01
0.84          	7.431594e-01
0.85          	7.436730e-01
0.86          	7.441722e-01
0.87          	7.446552e-01
0.88          	7.451342e-01
0.89          	7.456414e-01
0.9           	7.461128e-01
0.91          	7.465736e-01
0.92          	7.470299e-01
0.93          	7.474790e-01
0.94          	7.479226e-01
0.95          	7.483612e-01
0.96          	7.487945e-01
0.97          	7.492225e-01
0.98          	7.496452e-01
0.99          	7.500628e-01
1             	7.504751e-01
1.01          	7.508824e-01
1.02          	7.512847e-01
1.03          	7.516821e-01
1.04          	7.520754e-01
1.05          	7.524604e-01
1.06          	7.528425e-01
1.07          	7.532201e-01
1.08          	7.535928e-01
1.09          	7.539601e-01
1.1           	7.543212e-01
1.11          	7.546715e-01
1.12          	7.550259e-01
1.13          	7.554100e-01
1.14          	7.557612e-01
1.15          	7.561008e-01
1.16          	7.564359e-01
1.17          	7.567680e-01
1.18          	7.571013e-01
1.19          	7.574210e-01
1.2           	7.577408e-01
1.21          	7.580530e-01
1.22          	7.583366e-01
1.23          	7.586143e-01
1.24          	7.590318e-01
1.25          	7.593415e-01
1.26          	7.596399e-01
1.27          	7.599291e-01
1.28          	7.602098e-01
1.29          	7.604502e-01
1.3           	7.607835e-01
1.31          	7.611666e-01
1.32          	7.615328e-01
1.33          	7.617222e-01
1.34          	7.617945e-01
1.35          	7.620683e-01
1.36          	7.623715e-01
1.37          	7.626625e-01
1.38          	7.629376e-01
1.39          	7.632016e-01
1.4           	7.634591e-01
1.41          	7.637120e-01
1.42          	7.639605e-01
1.43          	7.642031e-01
1.44          	7.644334e-01
1.45          	7.645863e-01
1.46          	7.649599e-01
1.47          	7.652421e-01
1.48          	7.654733e-01
1.49          	7.656936e-01
1.5           	7.659089e-01
1.51          	7.661299e-01
1.52          	7.663422e-01
1.53          	7.665723e-01
1.54          	7.668120e-01
1.55          	7.670387e-01
1.56          	7.672415e-01
1.57          	7.674501e-01
1.58          	7.676591e-01
1.59          	7.678671e-01
1.6           	7.680736e-01
1.61          	7.682781e-01
1.62          	7.684806e-01
1.63          	7.686810e-01
