# Selection   : all
# Cells       : 400
# Volume      : 1.000000e+00
# Time        	maxMag(U)
0             	0.000000e+00
0.01          	5.823750e-02
0.02          	1.103805e-01
0.03          	1.575375e-01
0.04          	2.004285e-01
0.05          	2.395447e-01
0.06          	2.752723e-01
0.07          	3.079429e-01
0.08          	3.378527e-01
0.09          	3.652640e-01
0.1           	3.904161e-01
0.11          	4.135238e-01
0.12          	4.347838e-01
0.13          	4.543680e-01
0.14          	4.724331e-01
0.15          	4.891188e-01
0.16          	5.045514e-01
0.17          	5.188445e-01
0.18          	5.321004e-01
0.19          	5.444116e-01
0.2           	5.559496e-01
0.21          	5.667241e-01
0.22          	5.767806e-01
0.23          	5.861826e-01
0.24          	5.949883e-01
0.25          	6.032452e-01
0.26          	6.109960e-01
0.27          	6.182812e-01
0.28          	6.251378e-01
0.29          	6.315996e-01
0.3           	6.376981e-01
0.31          	6.434613e-01
0.32          	6.489147e-01
0.33          	6.540814e-01
0.34          	6.589827e-01
0.35          	6.636365e-01
0.36          	6.680607e-01
0.37          	6.722719e-01
0.38          	6.763694e-01
0.39          	6.802834e-01
0.4           	6.840235e-01
0.41          	6.876004e-01
0.42          	6.910271e-01
0.43          	6.943127e-01
0.44          	6.974650e-01
0.45          	7.004937e-01
0.46          	7.034026e-01
0.47          	7.062001e-01
0.48          	7.088944e-01
0.49          	7.114891e-01
0.5           	7.139904e-01
0.51          	7.164047e-01
0.52          	7.187366e-01
0.53          	7.209910e-01
0.54          	7.231714e-01
0.55          	7.252819e-01
0.56          	7.273260e-01
0.57          	7.293076e-01
0.58          	7.312292e-01
0.59          	7.330937e-01
0.6           	7.349035e-01
0.61          	7.366610e-01
0.62          	7.383677e-01
0.63          	7.400279e-01
0.64          	7.416433e-01
0.65          	7.432153e-01
0.66          	7.447455e-01
0.67          	7.462357e-01
0.68          	7.476874e-01
0.69          	7.491023e-01
0.7           	7.504818e-01
0.71          	7.518273e-01
0.72          	7.531403e-01
0.73          	7.544217e-01
0.74          	7.556727e-01
0.75          	7.568945e-01
0.76          	7.580882e-01
0.77          	7.592548e-01
0.78          	7.603956e-01
0.79          	7.615117e-01
0.8           	7.626018e-01
0.81          	7.636676e-01
0.82          	7.647104e-01
0.83          	7.657313e-01
0.84          	7.667309e-01
0.85          	7.677099e-01
0.86          	7.686689e-01
0.87          	7.696084e-01
0.88          	7.705291e-01
0.89          	7.714315e-01
0.9           	7.723160e-01
0.91          	7.731831e-01
0.92          	7.740333e-01
0.93          	7.748673e-01
0.94          	7.756853e-01
0.95          	7.764879e-01
0.96          	7.772755e-01
0.97          	7.780484e-01
0.98          	7.788072e-01
0.99          	7.795521e-01
1             	7.802835e-01
1.01          	7.810017e-01
1.02          	7.817072e-01
1.03          	7.824001e-01
1.04          	7.830809e-01
1.05          	7.837498e-01
1.06          	7.844072e-01
1.07          	7.850532e-01
1.08          	7.856882e-01
1.09          	7.863125e-01
1.1           	7.869262e-01
1.11          	7.875297e-01
1.12          	7.881232e-01
1.13          	7.887068e-01
1.14          	7.892808e-01
1.15          	7.898454e-01
1.16          	7.904008e-01
1.17          	7.909473e-01
1.18          	7.914850e-01
1.19          	7.920142e-01
1.2           	7.925352e-01
1.21          	7.930483e-01
1.22          	7.935549e-01
1.23          	7.940555e-01
1.24          	7.945442e-01
1.25          	7.950238e-01
1.26          	7.954958e-01
1.27          	7.959608e-01
1.28          	7.964193e-01
1.29          	7.968724e-01
1.3           	7.973181e-01
1.31          	7.977554e-01
1.32          	7.981859e-01
1.33          	7.986103e-01
1.34          	7.990284e-01
1.35          	7.994406e-01
1.36          	7.998471e-01
1.37          	8.002480e-01
1.38          	8.006431e-01
1.39          	8.010326e-01
1.4           	8.014166e-01
1.41          	8.017951e-01
1.42          	8.021681e-01
1.43          	8.025359e-01
1.44          	8.028986e-01
1.45          	8.032569e-01
1.46          	8.036090e-01
1.47          	8.039555e-01
1.48          	8.042971e-01
1.49          	8.046342e-01
1.5           	8.049668e-01
1.51          	8.052950e-01
1.52          	8.056187e-01
1.53          	8.059380e-01
1.54          	8.062530e-01
1.55          	8.065635e-01
1.56          	8.068698e-01
1.57          	8.071719e-01
1.58          	8.074700e-01
1.59          	8.077639e-01
1.6           	8.080540e-01
1.61          	8.083401e-01
1.62          	8.086224e-01
1.63          	8.089009e-01
1.64          	8.091758e-01
1.65          	8.094470e-01
1.66          	8.097146e-01
1.67          	8.099787e-01
1.68          	8.102394e-01
1.69          	8.104966e-01
1.7           	8.107505e-01
1.71          	8.110011e-01
1.72          	8.112484e-01
1.73          	8.114926e-01
1.74          	8.117336e-01
1.75          	8.119715e-01
1.76          	8.122064e-01
1.77          	8.124383e-01
1.78          	8.126673e-01
1.79          	8.128933e-01
1.8           	8.131165e-01
1.81          	8.133368e-01
1.82          	8.135545e-01
1.83          	8.137693e-01
1.84          	8.139816e-01
1.85          	8.141911e-01
1.86          	8.143981e-01
1.87          	8.146024e-01
1.88          	8.148043e-01
1.89          	8.150036e-01
1.9           	8.152006e-01
1.91          	8.153951e-01
1.92          	8.155873e-01
1.93          	8.157771e-01
1.94          	8.159646e-01
1.95          	8.161499e-01
1.96          	8.163329e-01
1.97          	8.165138e-01
1.98          	8.166924e-01
1.99          	8.168690e-01
2             	8.170434e-01
2.01          	8.172157e-01
2.02          	8.173861e-01
2.03          	8.175544e-01
2.04          	8.177207e-01
2.05          	8.178851e-01
2.06          	8.180475e-01
2.07          	8.182081e-01
2.08          	8.183667e-01
2.09          	8.185236e-01
2.1           	8.186786e-01
2.11          	8.188319e-01
2.12          	8.189833e-01
2.13          	8.191331e-01
2.14          	8.192811e-01
2.15          	8.194274e-01
2.16          	8.195721e-01
2.17          	8.197151e-01
2.18          	8.198566e-01
2.19          	8.199964e-01
2.2           	8.201346e-01
2.21          	8.202713e-01
2.22          	8.204065e-01
2.23          	8.205402e-01
2.24          	8.206724e-01
2.25          	8.208031e-01
2.26          	8.209324e-01
2.27          	8.210603e-01
2.28          	8.211867e-01
2.29          	8.213118e-01
2.3           	8.214355e-01
2.31          	8.215579e-01
2.32          	8.216789e-01
2.33          	8.217986e-01
2.34          	8.219171e-01
2.35          	8.220342e-01
2.36          	8.221501e-01
2.37          	8.222648e-01
2.38          	8.223783e-01
2.39          	8.224905e-01
2.4           	8.226016e-01
2.41          	8.227114e-01
2.42          	8.228202e-01
2.43          	8.229278e-01
2.44          	8.230342e-01
2.45          	8.231395e-01
2.46          	8.232438e-01
2.47          	8.233470e-01
2.48          	8.234491e-01
2.49          	8.235502e-01
2.5           	8.236502e-01
2.51          	8.237492e-01
2.52          	8.238472e-01
2.53          	8.239442e-01
2.54          	8.240402e-01
2.55          	8.241353e-01
2.56          	8.242293e-01
2.57          	8.243225e-01
2.58          	8.244147e-01
2.59          	8.245060e-01
2.6           	8.245963e-01
2.61          	8.246858e-01
2.62          	8.247744e-01
2.63          	8.248621e-01
2.64          	8.249490e-01
2.65          	8.250350e-01
2.66          	8.251201e-01
2.67          	8.252045e-01
2.68          	8.252880e-01
2.69          	8.253707e-01
2.7           	8.254526e-01
2.71          	8.255337e-01
2.72          	8.256141e-01
2.73          	8.256937e-01
2.74          	8.257725e-01
2.75          	8.258506e-01
2.76          	8.259279e-01
2.77          	8.260045e-01
2.78          	8.260804e-01
2.79          	8.261556e-01
2.8           	8.262301e-01
2.81          	8.263039e-01
2.82          	8.263771e-01
2.83          	8.264495e-01
2.84          	8.265213e-01
2.85          	8.265925e-01
2.86          	8.266630e-01
2.87          	8.267329e-01
2.88          	8.268021e-01
2.89          	8.268708e-01
2.9           	8.269389e-01
2.91          	8.270064e-01
2.92          	8.270735e-01
2.93          	8.271401e-01
2.94          	8.272067e-01
2.95          	8.272729e-01
2.96          	8.273370e-01
2.97          	8.273999e-01
2.98          	8.274623e-01
2.99          	8.275244e-01
3             	8.275862e-01
3.01          	8.276477e-01
3.02          	8.277090e-01
3.03          	8.277704e-01
3.04          	8.278308e-01
3.05          	8.278901e-01
3.06          	8.279490e-01
3.07          	8.280084e-01
3.08          	8.280663e-01
3.09          	8.281225e-01
3.1           	8.281779e-01
3.11          	8.282331e-01
3.12          	8.282882e-01
3.13          	8.283430e-01
3.14          	8.283975e-01
3.15          	8.284517e-01
3.16          	8.285055e-01
3.17          	8.285590e-01
3.18          	8.286120e-01
3.19          	8.286646e-01
3.2           	8.287168e-01
3.21          	8.287685e-01
3.22          	8.288199e-01
3.23          	8.288709e-01
3.24          	8.289215e-01
3.25          	8.289716e-01
3.26          	8.290214e-01
3.27          	8.290708e-01
3.28          	8.291198e-01
3.29          	8.291685e-01
3.3           	8.292169e-01
3.31          	8.292651e-01
3.32          	8.293124e-01
3.33          	8.293592e-01
3.34          	8.294057e-01
3.35          	8.294518e-01
3.36          	8.294976e-01
3.37          	8.295431e-01
3.38          	8.295883e-01
3.39          	8.296332e-01
3.4           	8.296777e-01
3.41          	8.297219e-01
3.42          	8.297657e-01
3.43          	8.298092e-01
3.44          	8.298524e-01
3.45          	8.298953e-01
3.46          	8.299378e-01
3.47          	8.299800e-01
3.48          	8.300219e-01
3.49          	8.300635e-01
3.5           	8.301047e-01
3.51          	8.301457e-01
3.52          	8.301863e-01
3.53          	8.302267e-01
3.54          	8.302668e-01
