# Selection   : all
# Cells       : 400
# Volume      : 1.000000e+00
# Time        	min(U)
0             	(0.000000e+00 0.000000e+00 0.000000e+00)
0.01          	(-1.045823e-02 -2.293784e-02 0.000000e+00)
0.02          	(-2.078273e-02 -4.813336e-02 0.000000e+00)
0.03          	(-2.985919e-02 -7.260871e-02 0.000000e+00)
0.04          	(-3.724661e-02 -9.481643e-02 0.000000e+00)
0.05          	(-4.299861e-02 -1.145385e-01 0.000000e+00)
0.06          	(-4.735185e-02 -1.320700e-01 0.000000e+00)
0.07          	(-5.056778e-02 -1.477859e-01 0.000000e+00)
0.08          	(-5.519334e-02 -1.619964e-01 0.000000e+00)
0.09          	(-6.019625e-02 -1.749318e-01 0.000000e+00)
0.1           	(-6.480969e-02 -1.867626e-01 0.000000e+00)
0.11          	(-6.904887e-02 -1.976195e-01 0.000000e+00)
0.12          	(-7.292423e-02 -2.076138e-01 0.000000e+00)
0.13          	(-7.644774e-02 -2.168353e-01 0.000000e+00)
0.14          	(-7.963295e-02 -2.253651e-01 0.000000e+00)
0.15          	(-8.249139e-02 -2.332719e-01 0.000000e+00)
0.16          	(-8.503509e-02 -2.406163e-01 0.000000e+00)
0.17          	(-8.727583e-02 -2.474516e-01 0.000000e+00)
0.18          	(-8.922465e-02 -2.538245e-01 0.000000e+00)
0.19          	(-9.089260e-02 -2.597764e-01 0.000000e+00)
0.2           	(-9.228890e-02 -2.653436e-01 0.000000e+00)
0.21          	(-9.500197e-02 -2.705572e-01 0.000000e+00)
0.22          	(-9.798843e-02 -2.754405e-01 0.000000e+00)
0.23          	(-1.008515e-01 -2.800375e-01 0.000000e+00)
0.24          	(-1.036067e-01 -2.843896e-01 0.000000e+00)
0.25          	(-1.062448e-01 -2.884974e-01 0.000000e+00)
0.26          	(-1.087562e-01 -2.923641e-01 0.000000e+00)
0.27          	(-1.111387e-01 -2.960062e-01 0.000000e+00)
0.28          	(-1.133939e-01 -2.994434e-01 0.000000e+00)
0.29          	(-1.155241e-01 -3.026936e-01 0.000000e+00)
0.3           	(-1.175318e-01 -3.057714e-01 0.000000e+00)
0.31          	(-1.194192e-01 -3.086894e-01 0.000000e+00)
0.32          	(-1.211886e-01 -3.114588e-01 0.000000e+00)
0.33          	(-1.228422e-01 -3.140900e-01 0.000000e+00)
0.34          	(-1.243825e-01 -3.165931e-01 0.000000e+00)
0.35          	(-1.258085e-01 -3.189605e-01 0.000000e+00)
0.36          	(-1.271238e-01 -3.212067e-01 0.000000e+00)
0.37          	(-1.283325e-01 -3.233446e-01 0.000000e+00)
0.38          	(-1.294375e-01 -3.253813e-01 0.000000e+00)
0.39          	(-1.304413e-01 -3.273221e-01 0.000000e+00)
0.4           	(-1.313466e-01 -3.291719e-01 0.000000e+00)
0.41          	(-1.321559e-01 -3.309353e-01 0.000000e+00)
0.42          	(-1.328717e-01 -3.326172e-01 0.000000e+00)
0.43          	(-1.334969e-01 -3.342222e-01 0.000000e+00)
