# Selection   : all
# Cells       : 400
# Volume      : 1.000000e+00
# Time        	minMag(U)
0             	0.000000e+00
0.01          	9.807560e-05
0.02          	1.934384e-04
0.03          	2.750352e-04
0.04          	3.402004e-04
0.05          	3.900787e-04
0.06          	4.267725e-04
0.07          	4.524842e-04
0.08          	4.692112e-04
0.09          	4.786743e-04
0.1           	4.823038e-04
0.11          	4.812830e-04
0.12          	4.766036e-04
0.13          	4.690426e-04
0.14          	4.592524e-04
0.15          	4.477621e-04
0.16          	4.350055e-04
0.17          	4.213395e-04
0.18          	4.070563e-04
0.19          	3.923941e-04
0.2           	3.775502e-04
0.21          	3.626624e-04
0.22          	3.478509e-04
0.23          	3.332376e-04
0.24          	3.189274e-04
0.25          	3.049570e-04
0.26          	2.913479e-04
0.27          	2.781249e-04
0.28          	2.653109e-04
0.29          	2.529221e-04
0.3           	2.409665e-04
0.31          	2.294462e-04
0.32          	2.183585e-04
0.33          	2.076976e-04
0.34          	1.974555e-04
0.35          	1.876087e-04
0.36          	1.781501e-04
0.37          	1.690720e-04
0.38          	1.603624e-04
0.39          	1.520066e-04
0.4           	1.439898e-04
0.41          	1.362974e-04
0.42          	1.289155e-04
0.43          	1.218399e-04
0.44          	1.150510e-04
0.45          	1.085149e-04
0.46          	1.022452e-04
0.47          	9.623777e-05
0.48          	9.045522e-05
0.49          	8.489043e-05
0.5           	7.953402e-05
0.51          	7.437002e-05
0.52          	6.938958e-05
0.53          	6.457717e-05
0.54          	5.994325e-05
0.55          	5.547878e-05
0.56          	5.117079e-05
0.57          	4.700857e-05
0.58          	4.298406e-05
0.59          	3.909192e-05
0.6           	3.532528e-05
0.61          	3.167568e-05
0.62          	2.812205e-05
0.63          	2.470675e-05
0.64          	2.141002e-05
0.65          	1.821486e-05
0.66          	1.511248e-05
0.67          	1.209826e-05
0.68          	9.169104e-06
0.69          	6.320592e-06
0.7           	3.555057e-06
0.71          	8.730537e-07
0.72          	1.749426e-06
0.73          	4.292558e-06
0.74          	4.459185e-06
0.75          	3.171867e-06
0.76          	3.987259e-06
0.77          	6.031088e-06
0.78          	8.391486e-06
0.79          	1.081060e-05
0.8           	1.328131e-05
0.81          	1.575282e-05
0.82          	1.819209e-05
0.83          	2.058811e-05
0.84          	2.293706e-05
0.85          	2.524538e-05
0.86          	2.751405e-05
0.87          	2.974237e-05
0.88          	3.193336e-05
0.89          	3.408707e-05
0.9           	3.620585e-05
0.91          	3.829008e-05
0.92          	4.034003e-05
0.93          	4.235727e-05
0.94          	4.434323e-05
0.95          	4.629902e-05
0.96          	4.821362e-05
0.97          	4.964793e-05
0.98          	5.105298e-05
0.99          	5.242966e-05
1             	5.377882e-05
1.01          	5.510127e-05
1.02          	5.639788e-05
1.03          	5.766971e-05
1.04          	5.891845e-05
1.05          	6.014068e-05
1.06          	6.133855e-05
1.07          	6.251385e-05
1.08          	6.366753e-05
1.09          	6.480008e-05
1.1           	6.591164e-05
1.11          	6.700137e-05
1.12          	6.807113e-05
1.13          	6.912903e-05
1.14          	7.017124e-05
1.15          	7.119521e-05
1.16          	7.220038e-05
1.17          	7.318734e-05
1.18          	7.415867e-05
1.19          	7.511188e-05
1.2           	7.604879e-05
1.21          	7.697167e-05
1.22          	7.788671e-05
1.23          	7.879340e-05
1.24          	7.966750e-05
1.25          	8.052154e-05
1.26          	8.136176e-05
1.27          	8.219148e-05
1.28          	8.301271e-05
1.29          	8.383127e-05
1.3           	8.463548e-05
1.31          	8.541664e-05
1.32          	8.618114e-05
1.33          	8.693519e-05
1.34          	8.768693e-05
1.35          	8.843061e-05
1.36          	8.916441e-05
1.37          	8.988796e-05
1.38          	9.060157e-05
1.39          	9.130565e-05
1.4           	9.200048e-05
1.41          	9.268636e-05
1.42          	9.336363e-05
1.43          	9.403283e-05
1.44          	9.469520e-05
1.45          	9.535910e-05
1.46          	9.600229e-05
1.47          	9.662903e-05
1.48          	9.724606e-05
1.49          	9.785684e-05
1.5           	9.846340e-05
1.51          	9.906287e-05
1.52          	9.965392e-05
1.53          	1.002412e-04
1.54          	1.008286e-04
1.55          	1.014153e-04
1.56          	1.019917e-04
1.57          	1.025587e-04
1.58          	1.031181e-04
1.59          	1.036710e-04
1.6           	1.042181e-04
1.61          	1.047596e-04
1.62          	1.052957e-04
1.63          	1.058265e-04
1.64          	1.063521e-04
1.65          	1.068726e-04
1.66          	1.073882e-04
1.67          	1.078988e-04
1.68          	1.084046e-04
1.69          	1.089058e-04
1.7           	1.094025e-04
1.71          	1.098948e-04
1.72          	1.103828e-04
1.73          	1.108666e-04
1.74          	1.113464e-04
1.75          	1.118223e-04
1.76          	1.122944e-04
1.77          	1.127631e-04
1.78          	1.132283e-04
1.79          	1.136888e-04
1.8           	1.141450e-04
1.81          	1.145976e-04
1.82          	1.150471e-04
1.83          	1.154937e-04
1.84          	1.159380e-04
1.85          	1.163793e-04
1.86          	1.168165e-04
1.87          	1.172502e-04
1.88          	1.176812e-04
1.89          	1.181095e-04
1.9           	1.185355e-04
1.91          	1.189590e-04
1.92          	1.193801e-04
1.93          	1.197988e-04
1.94          	1.202151e-04
1.95          	1.206290e-04
1.96          	1.210407e-04
1.97          	1.214501e-04
1.98          	1.218574e-04
1.99          	1.222625e-04
2             	1.226655e-04
2.01          	1.230665e-04
2.02          	1.234655e-04
2.03          	1.238626e-04
2.04          	1.242578e-04
2.05          	1.246512e-04
2.06          	1.250429e-04
2.07          	1.254328e-04
2.08          	1.258211e-04
2.09          	1.262077e-04
2.1           	1.265928e-04
2.11          	1.269764e-04
2.12          	1.273584e-04
2.13          	1.277391e-04
2.14          	1.281184e-04
2.15          	1.284963e-04
2.16          	1.288729e-04
2.17          	1.292482e-04
2.18          	1.296222e-04
2.19          	1.299951e-04
2.2           	1.303668e-04
2.21          	1.307374e-04
2.22          	1.311070e-04
2.23          	1.314754e-04
2.24          	1.293981e-04
2.25          	1.271981e-04
2.26          	1.248794e-04
2.27          	1.224025e-04
2.28          	1.198910e-04
2.29          	1.174077e-04
2.3           	1.149572e-04
2.31          	1.125285e-04
2.32          	1.101071e-04
2.33          	1.077008e-04
2.34          	1.053131e-04
2.35          	1.029478e-04
2.36          	1.006068e-04
2.37          	9.829126e-05
2.38          	9.600240e-05
2.39          	9.374158e-05
2.4           	9.151030e-05
2.41          	8.931023e-05
2.42          	8.714308e-05
2.43          	8.501063e-05
2.44          	8.291193e-05
2.45          	8.085575e-05
2.46          	7.884172e-05
