#           x           U_x           U_y           U_z
            0             0             0             0
        0.025   -0.00346063     0.0363998             0
         0.05   -0.00692127     0.0727996             0
        0.075    -0.0143872     0.0968694             0
          0.1    -0.0218531      0.120939             0
        0.125    -0.0318608      0.135244             0
         0.15    -0.0418686      0.149549             0
        0.175    -0.0530582       0.15653             0
          0.2    -0.0642478      0.163511             0
        0.225    -0.0757977      0.165001             0
         0.25    -0.0873475      0.166492             0
        0.275    -0.0988419      0.163589             0
          0.3     -0.110336      0.160686             0
        0.325     -0.121548      0.153855             0
         0.35     -0.132761      0.147023             0
        0.375     -0.143536      0.136301             0
          0.4     -0.154312      0.125579             0
        0.425     -0.164466      0.110804             0
         0.45      -0.17462     0.0960296             0
        0.475     -0.183844     0.0770468             0
          0.5     -0.193067     0.0580639             0
        0.525     -0.200831     0.0349348             0
         0.55     -0.208594     0.0118056             0
        0.575     -0.214086    -0.0149486             0
          0.6     -0.219577    -0.0417029             0
        0.625     -0.221654    -0.0707798             0
         0.65     -0.223731    -0.0998566             0
        0.675     -0.220924      -0.12878             0
          0.7     -0.218117     -0.157703             0
        0.725     -0.208865     -0.182438             0
         0.75     -0.199613     -0.207172             0
        0.775     -0.182864     -0.222011             0
          0.8     -0.166114      -0.23685             0
        0.825      -0.14239     -0.235245             0
         0.85     -0.118666     -0.233639             0
        0.875    -0.0917473     -0.210869             0
          0.9    -0.0648289     -0.188099             0
        0.925    -0.0425222     -0.145937             0
         0.95    -0.0202155     -0.103775             0
        0.975    -0.0101078    -0.0518876             0
            1             0             0             0
