#           y           U_x           U_y           U_z
            0             0             0             0
        0.025    -0.0170392   0.000182677             0
         0.05    -0.0349307   0.000464897             0
        0.075    -0.0484636   0.000676101             0
          0.1    -0.0643242    0.00127425             0
        0.125     -0.075715    0.00143959             0
         0.15     -0.090519    0.00242713             0
        0.175     -0.100646    0.00265253             0
          0.2     -0.114983    0.00425458             0
        0.225     -0.124254    0.00476478             0
         0.25     -0.138282     0.0073447             0
        0.275     -0.146653    0.00841837             0
          0.3     -0.160073     0.0124322             0
        0.325     -0.167032     0.0143277             0
         0.35     -0.179034     0.0202341             0
        0.375     -0.183641     0.0231045             0
          0.4     -0.192937     0.0312379             0
        0.425     -0.193967     0.0350493             0
         0.45     -0.198954     0.0454749             0
        0.475     -0.195136     0.0499445             0
          0.5     -0.194194     0.0623227             0
        0.525     -0.184538     0.0668794             0
         0.55      -0.17642     0.0803779             0
        0.575     -0.160541     0.0841893             0
          0.6     -0.144761     0.0975142             0
        0.625     -0.122961      0.099598             0
         0.65    -0.0998737      0.111155             0
        0.675    -0.0727858      0.110496             0
          0.7    -0.0431903      0.118603             0
        0.725     -0.010801      0.114251             0
         0.75     0.0251402      0.117361             0
        0.775     0.0653359      0.108543             0
          0.8      0.110109      0.105441             0
        0.825      0.165573     0.0918338             0
         0.85       0.22686     0.0819784             0
        0.875      0.311192     0.0647775             0
          0.9      0.402751      0.049464             0
        0.925      0.530013     0.0329903             0
         0.95      0.664879     0.0170729             0
        0.975      0.830618    0.00851518             0
            1             1             0             0
